TRAINING RESULTS
==================================================

Final Metrics:
  Final Train Loss:     0.8946
  Final Val Loss:       0.9045
  Final Train IoU:      0.3532
  Final Val IoU:        0.2955
  Final Train Dice:     0.4640
  Final Val Dice:       0.4389
  Final Train Accuracy: 0.6285
  Final Val Accuracy:   0.6281
==================================================

Best Results:
  Best Val IoU:      0.2990 (Epoch 14)
  Best Val Dice:     0.4432 (Epoch 14)
  Best Val Accuracy: 0.6337 (Epoch 14)
  Lowest Val Loss:   0.9045 (Epoch 20)
==================================================

Per-Epoch History:
----------------------------------------------------------------------------------------------------
Epoch    Train Loss   Val Loss     Train IoU    Val IoU      Train Dice   Val Dice     Train Acc    Val Acc     
----------------------------------------------------------------------------------------------------
1        1.0339       0.9606       0.3108       0.2653       0.4169       0.4060       0.6043       0.6098      
2        0.9596       0.9404       0.3234       0.2711       0.4315       0.4110       0.6092       0.6134      
3        0.9445       0.9312       0.3274       0.2753       0.4366       0.4159       0.6143       0.6180      
4        0.9357       0.9262       0.3349       0.2800       0.4451       0.4214       0.6162       0.6201      
5        0.9299       0.9231       0.3335       0.2779       0.4422       0.4172       0.6145       0.6180      
6        0.9247       0.9189       0.3354       0.2815       0.4435       0.4241       0.6176       0.6206      
7        0.9211       0.9157       0.3412       0.2857       0.4513       0.4282       0.6206       0.6227      
8        0.9174       0.9142       0.3432       0.2885       0.4539       0.4319       0.6234       0.6263      
9        0.9138       0.9146       0.3490       0.2946       0.4603       0.4385       0.6296       0.6314      
10       0.9117       0.9112       0.3451       0.2911       0.4547       0.4344       0.6265       0.6286      
11       0.9091       0.9099       0.3434       0.2881       0.4524       0.4314       0.6246       0.6257      
12       0.9064       0.9090       0.3454       0.2900       0.4550       0.4343       0.6224       0.6237      
13       0.9050       0.9080       0.3467       0.2930       0.4564       0.4365       0.6248       0.6258      
14       0.9032       0.9084       0.3545       0.2990       0.4664       0.4432       0.6330       0.6337      
15       0.9013       0.9067       0.3467       0.2898       0.4558       0.4323       0.6251       0.6256      
16       0.9004       0.9063       0.3510       0.2958       0.4609       0.4412       0.6290       0.6289      
17       0.8980       0.9048       0.3488       0.2929       0.4596       0.4370       0.6283       0.6282      
18       0.8963       0.9071       0.3555       0.2971       0.4665       0.4408       0.6331       0.6336      
19       0.8950       0.9050       0.3521       0.2956       0.4621       0.4407       0.6305       0.6304      
20       0.8946       0.9045       0.3532       0.2955       0.4640       0.4389       0.6285       0.6281      
